RoleName,RoleArn
AccessAnalyzerTrustedService,arn:aws:iam::443253904861:role/AccessAnalyzerTrustedService
Admin,arn:aws:iam::443253904861:role/Admin
AVMContainersUserRole,arn:aws:iam::443253904861:role/AVMContainersUserRole
AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-2,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-northeast-2
AWS-QuickSetup-EnableCRecording-62d8q_ap-south-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-south-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-1
AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-2,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_ap-southeast-2
AWS-QuickSetup-EnableCRecording-62d8q_ca-central-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_ca-central-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-central-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-central-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-north-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-north-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-1
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-2,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-2
AWS-QuickSetup-EnableCRecording-62d8q_eu-west-3,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_eu-west-3
AWS-QuickSetup-EnableCRecording-62d8q_sa-east-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_sa-east-1
AWS-QuickSetup-EnableCRecording-62d8q_us-east-2,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_us-east-2
AWS-QuickSetup-EnableCRecording-62d8q_us-west-1,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_us-west-1
AWS-QuickSetup-EnableCRecording-62d8q_us-west-2,arn:aws:iam::443253904861:role/AWS-QuickSetup-EnableCRecording-62d8q_us-west-2
AWSControlTowerExecution,arn:aws:iam::443253904861:role/AWSControlTowerExecution
awslogs.prod.kelex.molecule.toppatterns,arn:aws:iam::443253904861:role/awslogs.prod.kelex.molecule.toppatterns
AwsSecurityAudit,arn:aws:iam::443253904861:role/AwsSecurityAudit
AwsSecurityNacundaAudit,arn:aws:iam::443253904861:role/AwsSecurityNacundaAudit
AWSVAPTAudit,arn:aws:iam::443253904861:role/AWSVAPTAudit
CloudSecAuditRole,arn:aws:iam::443253904861:role/CloudSecAuditRole
CloudSeerTrustedServiceRole,arn:aws:iam::443253904861:role/CloudSeerTrustedServiceRole
CodeGuruProfilerForwardToAmazonProfiler,arn:aws:iam::443253904861:role/CodeGuruProfilerForwardToAmazonProfiler
DiscoveryAnalyzerTrustedService-DO-NOT-DELETE,arn:aws:iam::443253904861:role/DiscoveryAnalyzerTrustedService-DO-NOT-DELETE
EC2CapacityReservationService,arn:aws:iam::443253904861:role/EC2CapacityReservationService
EpoxyAWSSystemsManagerDefaultEC2InstanceManagementRole,arn:aws:iam::443253904861:role/EpoxyAWSSystemsManagerDefaultEC2InstanceManagementRole
EpoxyChronicleInstanceRole,arn:aws:iam::443253904861:role/EpoxyChronicleInstanceRole
GatedGardenAudit,arn:aws:iam::443253904861:role/GatedGardenAudit
GatedGardenInternalAudit,arn:aws:iam::443253904861:role/GatedGardenInternalAudit
IibsAdminAccess-DO-NOT-DELETE,arn:aws:iam::443253904861:role/IibsAdminAccess-DO-NOT-DELETE
IMDSv2-automigrator,arn:aws:iam::443253904861:role/IMDSv2-automigrator
InternalAuditInternal,arn:aws:iam::443253904861:role/InternalAuditInternal
IsengardAuditorRole-DO-NOT-DELETE,arn:aws:iam::443253904861:role/IsengardAuditorRole-DO-NOT-DELETE
IsengardCloudTrailRole,arn:aws:iam::443253904861:role/IsengardCloudTrailRole
IsengardConfigRole,arn:aws:iam::443253904861:role/IsengardConfigRole
IsengardRole-DO-NOT-DELETE,arn:aws:iam::443253904861:role/IsengardRole-DO-NOT-DELETE
IsengardRoleForDependencyAssuranceIamAnalyzer,arn:aws:iam::443253904861:role/IsengardRoleForDependencyAssuranceIamAnalyzer
IsengardRoleForOptInComputeOptimizer,arn:aws:iam::443253904861:role/IsengardRoleForOptInComputeOptimizer
NawsApplicationMetrics-DO-NOT-DELETE,arn:aws:iam::443253904861:role/NawsApplicationMetrics-DO-NOT-DELETE
OrthancRole,arn:aws:iam::443253904861:role/OrthancRole
ResourceConfigurationCollector-DO-NOT-DELETE,arn:aws:iam::443253904861:role/ResourceConfigurationCollector-DO-NOT-DELETE
ShadowTrooperRole,arn:aws:iam::443253904861:role/ShadowTrooperRole
StackSet-AWSControlTowerGuardHook-7ea-ExecutionRole-N7eIvBtBwHXB,arn:aws:iam::443253904861:role/StackSet-AWSControlTowerGuardHook-7ea-ExecutionRole-N7eIvBtBwHXB
