RoleName,RoleArn,UnderCFN,CFNStackName
AccessAnalyzerTrustedService,arn:aws:iam::909180469036:role/AccessAnalyzerTrustedService,No,
AcmProvisioningAppStack-ACMProvisonFunctionServiceR-9wLIA8LHDlCJ,arn:aws:iam::909180469036:role/AcmProvisioningAppStack-ACMProvisonFunctionServiceR-9wLIA8LHDlCJ,Yes,AcmProvisioningAppStack
AcmProvisioningAppStack-AuthorizerFunctionServiceRo-abKu01YrCkau,arn:aws:iam::909180469036:role/AcmProvisioningAppStack-AuthorizerFunctionServiceRo-abKu01YrCkau,Yes,AcmProvisioningAppStack
admin,arn:aws:iam::909180469036:role/admin,No,
Administrator,arn:aws:iam::909180469036:role/Administrator,No,
AmazonApiGwPushToCloudWatchLogGroup,arn:aws:iam::909180469036:role/AmazonApiGwPushToCloudWatchLogGroup,No,
AVMContainersUserRole,arn:aws:iam::909180469036:role/AVMContainersUserRole,No,
AWS-QuickSetup-SSM-RoleForEnablingExplorer,arn:aws:iam::909180469036:role/AWS-QuickSetup-SSM-RoleForEnablingExplorer,No,
AWS-QuickSetup-StackSet-Local-AdministrationRole,arn:aws:iam::909180469036:role/AWS-QuickSetup-StackSet-Local-AdministrationRole,No,
AWS-QuickSetup-StackSet-Local-ExecutionRole,arn:aws:iam::909180469036:role/AWS-QuickSetup-StackSet-Local-ExecutionRole,No,
awslogs.prod.kelex.molecule.toppatterns,arn:aws:iam::909180469036:role/awslogs.prod.kelex.molecule.toppatterns,No,
AwsSecurityAudit,arn:aws:iam::909180469036:role/AwsSecurityAudit,No,
AwsSecurityNacundaAudit,arn:aws:iam::909180469036:role/AwsSecurityNacundaAudit,No,
awsssmautomation,arn:aws:iam::909180469036:role/awsssmautomation,No,
AWSVAPTAudit,arn:aws:iam::909180469036:role/AWSVAPTAudit,No,
CbRoleForPackaging,arn:aws:iam::909180469036:role/CbRoleForPackaging,Yes,mono-repo
CdkpipelineStack-PipelineBuildSynthStepCdkBuildPro-AX7NGJDDHGF7,arn:aws:iam::909180469036:role/CdkpipelineStack-PipelineBuildSynthStepCdkBuildPro-AX7NGJDDHGF7,Yes,CdkpipelineStack
CdkpipelineStack-PipelineCodeBuildActionRole226DB0-FRQR41FBFZRH,arn:aws:iam::909180469036:role/CdkpipelineStack-PipelineCodeBuildActionRole226DB0-FRQR41FBFZRH,Yes,CdkpipelineStack
CdkpipelineStack-PipelineEventsRole96280D9B-OQ4A0VELEIT6,arn:aws:iam::909180469036:role/CdkpipelineStack-PipelineEventsRole96280D9B-OQ4A0VELEIT6,Yes,CdkpipelineStack
CdkpipelineStack-PipelineRoleB27FAA37-1WLJCG0J74NIT,arn:aws:iam::909180469036:role/CdkpipelineStack-PipelineRoleB27FAA37-1WLJCG0J74NIT,Yes,CdkpipelineStack
CdkpipelineStack-PipelineSourceCodeCommitCodePipel-1OSHJN3G0WOW7,arn:aws:iam::909180469036:role/CdkpipelineStack-PipelineSourceCodeCommitCodePipel-1OSHJN3G0WOW7,Yes,CdkpipelineStack
CdkpipelineStack-PipelineUpdatePipelineSelfMutatio-1U2DVLLY4FUI0,arn:aws:iam::909180469036:role/CdkpipelineStack-PipelineUpdatePipelineSelfMutatio-1U2DVLLY4FUI0,Yes,CdkpipelineStack
CdkWorkshop-HelloHandlerServiceRole11EF7C63-1EGM7HBFH2PFW,arn:aws:iam::909180469036:role/CdkWorkshop-HelloHandlerServiceRole11EF7C63-1EGM7HBFH2PFW,Yes,CdkWorkshop
CdkWorkshop-HelloHitCounterHitCounterHandlerServic-13NX6NSU7CMUT,arn:aws:iam::909180469036:role/CdkWorkshop-HelloHitCounterHitCounterHandlerServic-13NX6NSU7CMUT,Yes,CdkWorkshop
CdkWorkshop-ViewHitCounterRenderedServiceRole254DB-130DD487GAZ9B,arn:aws:iam::909180469036:role/CdkWorkshop-ViewHitCounterRenderedServiceRole254DB-130DD487GAZ9B,Yes,CdkWorkshop
CdkWorkshopPipelineStack-PipelineBuildSynthStepCdk-15BUAZZ2763J0,arn:aws:iam::909180469036:role/CdkWorkshopPipelineStack-PipelineBuildSynthStepCdk-15BUAZZ2763J0,Yes,CdkWorkshopPipelineStack
CdkWorkshopPipelineStack-PipelineCodeBuildActionRo-SUVI0RZGM3D1,arn:aws:iam::909180469036:role/CdkWorkshopPipelineStack-PipelineCodeBuildActionRo-SUVI0RZGM3D1,Yes,CdkWorkshopPipelineStack
CdkWorkshopPipelineStack-PipelineEventsRole96280D9-14BK71ZVL6ZIB,arn:aws:iam::909180469036:role/CdkWorkshopPipelineStack-PipelineEventsRole96280D9-14BK71ZVL6ZIB,Yes,CdkWorkshopPipelineStack
CdkWorkshopPipelineStack-PipelineRoleB27FAA37-1FGE3TLU58OD5,arn:aws:iam::909180469036:role/CdkWorkshopPipelineStack-PipelineRoleB27FAA37-1FGE3TLU58OD5,Yes,CdkWorkshopPipelineStack
