RoleName,RoleArn
AccessAnalyzerMonitorServiceRole_HQ79ITYMTM,arn:aws:iam::233693416966:role/service-role/AccessAnalyzerMonitorServiceRole_HQ79ITYMTM
AccessAnalyzerTrustedService,arn:aws:iam::233693416966:role/AccessAnalyzerTrustedService
Admin,arn:aws:iam::233693416966:role/Admin
adminrole,arn:aws:iam::233693416966:role/adminrole
AmazonSageMaker-ExecutionRole-20240531T230643,arn:aws:iam::233693416966:role/service-role/AmazonSageMaker-ExecutionRole-20240531T230643
AmazonSagemakerCanvasBedrockRole-20240531T230642,arn:aws:iam::233693416966:role/service-role/AmazonSagemakerCanvasBedrockRole-20240531T230642
AmazonSagemakerCanvasForecastRole-20240531T230642,arn:aws:iam::233693416966:role/service-role/AmazonSagemakerCanvasForecastRole-20240531T230642
AmazonSagemakerCanvasForecastRole-20240531T230706,arn:aws:iam::233693416966:role/service-role/AmazonSagemakerCanvasForecastRole-20240531T230706
AmazonSageMakerServiceCatalogProductsApiGatewayRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsApiGatewayRole
AmazonSageMakerServiceCatalogProductsCloudformationRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsCloudformationRole
AmazonSageMakerServiceCatalogProductsCodeBuildRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsCodeBuildRole
AmazonSageMakerServiceCatalogProductsCodePipelineRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsCodePipelineRole
AmazonSageMakerServiceCatalogProductsEventsRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsEventsRole
AmazonSageMakerServiceCatalogProductsExecutionRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsExecutionRole
AmazonSageMakerServiceCatalogProductsFirehoseRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsFirehoseRole
AmazonSageMakerServiceCatalogProductsGlueRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsGlueRole
AmazonSageMakerServiceCatalogProductsLambdaRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsLambdaRole
AmazonSageMakerServiceCatalogProductsLaunchRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsLaunchRole
AmazonSageMakerServiceCatalogProductsUseRole,arn:aws:iam::233693416966:role/service-role/AmazonSageMakerServiceCatalogProductsUseRole
AVMContainersUserRole,arn:aws:iam::233693416966:role/AVMContainersUserRole
aws-controltower-AdministratorExecutionRole,arn:aws:iam::233693416966:role/aws-controltower-AdministratorExecutionRole
aws-controltower-ConfigRecorderRole,arn:aws:iam::233693416966:role/aws-controltower-ConfigRecorderRole
aws-controltower-ForwardSnsNotificationRole,arn:aws:iam::233693416966:role/aws-controltower-ForwardSnsNotificationRole
